episode,reward,win,wrong_guesses,repeated_guesses,episode_length
253,50,1,3,0,6
254,-60,0,6,0,6
255,-60,0,6,0,6
256,-60,0,6,0,6
257,40,1,5,0,8
258,40,1,5,0,8
259,-60,0,6,0,6
260,-50,0,6,0,8
261,-50,0,6,0,8
262,50,1,4,0,7
263,35,1,5,0,7
264,50,1,5,0,10
265,60,1,2,0,6
266,55,1,1,0,3
267,65,1,2,0,7
268,45,1,5,0,9
269,45,1,5,0,9
270,60,1,2,0,6
271,45,1,4,0,7
272,-60,0,6,0,6
273,-60,0,6,0,6
274,-55,0,6,0,7
275,-50,0,6,0,8
276,45,1,4,0,7
277,-55,0,6,0,7
278,60,1,2,0,5
279,-55,0,6,0,7
280,-60,0,6,0,6
281,35,1,4,0,5
282,-55,0,6,0,7
283,60,1,3,0,8
284,40,1,3,0,4
285,50,1,5,0,10
286,55,1,1,0,3
287,-55,0,6,0,7
288,-50,0,6,0,8
289,40,1,4,0,6
290,-55,0,6,0,7
291,-60,0,6,0,6
292,-60,0,6,0,6
293,35,1,5,0,7
294,-60,0,6,0,6
295,-60,0,6,0,6
296,65,1,2,0,7
297,-60,0,6,0,6
298,-50,0,6,0,8
299,40,1,4,0,6
300,50,1,5,0,10
301,-55,0,6,0,7
302,65,1,0,0,2
303,-60,0,6,0,6
304,40,1,4,0,6
305,45,1,5,0,9
306,30,1,5,0,6
307,-60,0,6,0,6
308,-60,0,6,0,6
309,35,1,5,0,7
310,-55,0,6,0,7
311,-60,0,6,0,6
312,60,1,1,0,3
313,-45,0,6,0,8
314,-60,0,6,0,6
315,60,1,2,0,6
316,-60,0,6,0,6
317,50,1,4,0,8
318,-55,0,6,0,7
319,-50,0,6,0,8
320,-45,0,6,0,9
321,-60,0,6,0,6
322,65,1,0,0,2
323,-60,0,6,0,6
324,55,1,1,0,3
325,50,1,5,0,10
326,55,1,1,0,3
327,50,1,5,0,10
328,-55,0,6,0,7
329,35,1,5,0,7
330,35,1,5,0,7
331,55,1,0,0,1
332,45,1,5,0,9
333,60,1,3,0,8
334,50,1,4,0,7
335,-50,0,6,0,7
336,-60,0,6,0,6
337,55,1,2,0,5
338,65,1,2,0,7
339,55,1,2,0,5
340,55,1,0,0,1
341,-55,0,6,0,7
342,45,1,4,0,7
343,60,1,3,0,7
344,-60,0,6,0,6
345,50,1,4,0,7
346,-55,0,6,0,7
347,-50,0,6,0,8
348,-60,0,6,0,6
349,60,1,3,0,8
350,70,1,1,0,6
351,60,1,1,0,4
352,-55,0,6,0,7
353,75,1,0,0,4
354,-60,0,6,0,6
355,-50,0,6,0,8
356,-60,0,6,0,6
357,-60,0,6,0,6
358,-50,0,6,0,8
359,-55,0,6,0,7
360,60,1,3,0,8
361,-60,0,6,0,6
362,60,1,3,0,8
363,-55,0,6,0,7
364,50,1,5,0,10
365,-50,0,6,0,8
366,-60,0,6,0,6
367,55,1,4,0,9
368,-60,0,6,0,6
369,35,1,5,0,7
370,40,1,5,0,7
371,-60,0,6,0,6
372,-55,0,6,0,7
373,45,1,5,0,8
374,-60,0,6,0,6
375,-60,0,6,0,6
376,-50,0,6,0,8
377,70,1,1,0,5
378,-60,0,6,0,6
379,35,1,5,0,7
380,60,1,2,0,6
381,-60,0,6,0,6
382,55,1,2,0,5
383,-60,0,6,0,6
384,45,1,5,0,9
385,-60,0,6,0,6
386,35,1,5,0,7
387,-60,0,6,0,6
388,35,1,5,0,7
389,45,1,4,0,7
390,50,1,2,0,4
391,55,1,4,0,9
392,-60,0,6,0,6
393,50,1,5,0,10
394,-50,0,6,0,8
395,-60,0,6,0,6
396,-60,0,6,0,6
397,-55,0,6,0,7
398,-60,0,6,0,6
399,65,1,2,0,6
400,-60,0,6,0,6
401,-55,0,6,0,7
402,-55,0,6,0,7
403,-55,0,6,0,7
404,35,1,5,0,7
405,65,1,1,0,5
406,60,1,3,0,7
407,-60,0,6,0,6
408,55,1,2,0,4
409,-55,0,6,0,7
410,35,1,5,0,7
411,-50,0,6,0,8
412,55,1,3,0,7
413,-60,0,6,0,6
414,45,1,5,0,9
415,55,1,1,0,3
416,-55,0,6,0,7
417,60,1,0,0,2
418,-55,0,6,0,7
419,-50,0,6,0,8
420,30,1,5,0,6
421,50,1,3,0,5
422,45,1,5,0,9
423,-50,0,6,0,8
424,65,1,1,0,4
425,-60,0,6,0,6
426,-45,0,6,0,8
427,60,1,2,0,6
428,-60,0,6,0,6
429,-45,0,6,0,9
430,50,1,2,0,4
431,-60,0,6,0,6
432,-60,0,6,0,6
433,-55,0,6,0,7
434,-50,0,6,0,8
435,-60,0,6,0,6
436,50,1,4,0,8
437,-60,0,6,0,6
438,55,1,3,0,7
439,50,1,5,0,10
440,-55,0,6,0,7
441,-55,0,6,0,7
442,55,1,3,0,7
443,-60,0,6,0,6
444,50,1,5,0,10
445,40,1,5,0,8
446,55,1,4,0,9
447,-60,0,6,0,6
448,45,1,5,0,9
449,-60,0,6,0,6
450,-45,0,6,0,8
451,70,1,1,0,6
452,45,1,3,0,5
453,-55,0,6,0,7
454,-60,0,6,0,6
455,50,1,4,0,8
456,-60,0,6,0,6
457,-55,0,6,0,7
458,65,1,2,0,6
459,60,1,0,0,2
460,-60,0,6,0,6
461,35,1,5,0,7
462,70,1,0,0,3
463,-60,0,6,0,6
464,-55,0,6,0,7
465,60,1,0,0,2
466,-60,0,6,0,6
467,-60,0,6,0,6
468,-60,0,6,0,6
469,-55,0,6,0,7
470,70,1,1,0,6
471,-60,0,6,0,6
472,-55,0,6,0,7
473,50,1,5,0,10
474,50,1,4,0,8
475,-60,0,6,0,6
476,-50,0,6,0,8
477,-60,0,6,0,6
478,-60,0,6,0,6
479,-55,0,6,0,7
480,-60,0,6,0,6
481,-60,0,6,0,6
482,-60,0,6,0,6
483,40,1,3,0,4
484,-60,0,6,0,6
485,-55,0,6,0,7
486,35,1,5,0,7
487,60,1,3,0,8
488,55,1,2,0,5
489,50,1,3,0,6
490,-55,0,6,0,7
491,-55,0,6,0,7
492,50,1,1,0,2
493,50,1,5,0,10
494,40,1,3,0,4
495,50,1,1,0,2
496,-60,0,6,0,6
497,-60,0,6,0,6
498,-60,0,6,0,6
499,-55,0,6,0,7
500,-60,0,6,0,6
501,-55,0,6,0,7
502,-60,0,6,0,6
503,-60,0,6,0,6
504,-60,0,6,0,6
505,50,1,2,0,4
506,70,1,1,0,4
507,-60,0,6,0,6
508,-60,0,6,0,6
509,-60,0,6,0,6
510,-55,0,6,0,7
511,-60,0,6,0,6
512,-60,0,6,0,6
513,50,1,1,0,2
514,40,1,5,0,8
515,-60,0,6,0,6
516,-60,0,6,0,6
517,50,1,5,0,10
518,50,1,4,0,7
519,30,1,5,0,6
520,-60,0,6,0,6
521,40,1,4,0,6
522,-60,0,6,0,6
523,60,1,1,0,4
524,-50,0,6,0,8
525,60,1,3,0,8
526,-60,0,6,0,6
527,-60,0,6,0,6
528,40,1,4,0,6
529,-50,0,6,0,8
530,35,1,5,0,7
531,-55,0,6,0,7
532,-60,0,6,0,6
533,45,1,5,0,9
534,-60,0,6,0,6
535,-50,0,6,0,8
536,-60,0,6,0,6
537,55,1,1,0,3
538,40,1,5,0,8
539,-60,0,6,0,6
540,-45,0,6,0,9
541,65,1,1,0,4
542,35,1,5,0,7
543,-60,0,6,0,6
544,-55,0,6,0,7
545,45,1,3,0,5
546,-60,0,6,0,6
547,55,1,0,0,1
548,65,1,1,0,5
549,-60,0,6,0,6
550,-60,0,6,0,6
551,45,1,5,0,8
552,-60,0,6,0,6
553,45,1,5,0,9
554,-60,0,6,0,6
555,50,1,3,0,5
556,-60,0,6,0,6
557,55,1,2,0,5
558,-60,0,6,0,6
559,-55,0,6,0,7
560,-60,0,6,0,6
561,-60,0,6,0,6
562,-60,0,6,0,6
